,City,FAA,IATA,ICAO,Airport,Role,Enplanements,State
1,BIRMINGHAM,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,1304467.0,ALABAMA
2,DOTHAN,DHN,DHN,KDHN,Dothan Regional Airport,P-N,49411.0,ALABAMA
3,HUNTSVILLE,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,527801.0,ALABAMA
4,MOBILE,MOB,MOB,KMOB,Mobile Regional Airport,P-N,288209.0,ALABAMA
5,MONTGOMERY,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,173210.0,ALABAMA
7,ANCHORAGE,LHD,,PALH,Lake Hood Seaplane Base (also see Lake Hood Airstrip),P-N,23382.0,ALASKA
8,ANCHORAGE,MRI,MRI,PAMR,Merrill Field,P-N,19144.0,ALASKA
9,ANCHORAGE,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,2563524.0,ALASKA
10,ANIAK,ANI,ANI,PANI,Aniak Airport,P-N,13688.0,ALASKA
11,BETHEL,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,155791.0,ALASKA
12,CORDOVA,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,18649.0,ALASKA
13,DEADHORSE,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,51205.0,ALASKA
14,DILLINGHAM,DLG,DLG,PADL,Dillingham Airport,P-N,33616.0,ALASKA
15,FAIRBANKS,FAI,FAI,PAFA,Fairbanks International Airport,P-S,538881.0,ALASKA
16,GUSTAVUS,GST,GST,PAGS,Gustavus Airport,P-N,11438.0,ALASKA
17,HOMER,HOM,HOM,PAHO,Homer Airport,P-N,44117.0,ALASKA
18,JUNEAU,JNU,JNU,PAJN,Juneau International Airport,P-N,420442.0,ALASKA
19,KENAI,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,92485.0,ALASKA
20,KETCHIKAN,KTN,KTN,PAKT,Ketchikan International Airport,P-N,127881.0,ALASKA
21,KING SALMON,AKN,AKN,PAKN,King Salmon Airport,P-N,36717.0,ALASKA
22,KLAWOCK,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),P-N,10628.0,ALASKA
23,KODIAK,ADQ,ADQ,PADQ,Kodiak Airport,P-N,79682.0,ALASKA
24,KOTZEBUE,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,64481.0,ALASKA
25,NOME,OME,OME,PAOM,Nome Airport,P-N,60655.0,ALASKA
26,PETERSBURG,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,21896.0,ALASKA
27,ST. MARY'S,KSM,KSM,PASM,St. Mary's Airport,P-N,12851.0,ALASKA
28,SITKA,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,83404.0,ALASKA
29,UNALAKLEET,UNK,UNK,PAUN,Unalakleet Airport,P-N,16948.0,ALASKA
30,UNALASKA,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport),P-N,31055.0,ALASKA
31,UTQIAGVIK,BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,45300.0,ALASKA
32,VALDEZ,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,12631.0,ALASKA
33,WRANGELL,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,12569.0,ALASKA
34,YAKUTAT,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,10756.0,ALASKA
36,BULLHEAD CITY,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,109334.0,ARIZONA
37,FLAGSTAFF,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,64578.0,ARIZONA
38,GRAND CANYON,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,319206.0,ARIZONA
39,MESA,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,705731.0,ARIZONA
40,PAGE,PGA,PGA,KPGA,Page Municipal Airport,P-N,17435.0,ARIZONA
41,PHOENIX,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,20896265.0,ARIZONA
42,PRESCOTT,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,3451.0,ARIZONA
43,TUCSON,TUS,TUS,KTUS,Tucson International Airport,P-S,1594594.0,ARIZONA
44,YUMA,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,74742.0,ARIZONA
46,FAYETTEVILLE,XNA,XNA,KXNA,Northwest Arkansas National Airport,P-S,673810.0,ARKANSAS
47,FORT SMITH,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,83920.0,ARKANSAS
48,LITTLE ROCK,LIT,LIT,KLIT,Clinton National Airport (Adams Field) (was Little Rock National),P-S,958824.0,ARKANSAS
49,TEXARKANA,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,33565.0,ARKANSAS
51,ARCATA/EUREKA,ACV,ACV,KACV,Arcata Airport,P-N,69732.0,CALIFORNIA
52,BAKERSFIELD,BFL,BFL,KBFL,Meadows Field,P-N,100433.0,CALIFORNIA
53,BURBANK,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport),P-M,2077892.0,CALIFORNIA
54,CONCORD,CCR,CCR,KCCR,Buchanan Field Airport,P-N,67.0,CALIFORNIA
55,FRESNO,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,761298.0,CALIFORNIA
56,LONG BEACH,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,1386357.0,CALIFORNIA
57,LOS ANGELES,LAX,LAX,KLAX,Los Angeles International Airport,P-L,39636042.0,CALIFORNIA
58,MAMMOTH LAKES,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N [nb 1],21826.0,CALIFORNIA
59,MONTEREY,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,192136.0,CALIFORNIA
60,OAKLAND,OAK,OAK,KOAK,Oakland International Airport,P-M,5934639.0,CALIFORNIA
61,ONTARIO,ONT,ONT,KONT,Ontario International Airport,P-M,4217366.0,CALIFORNIA
62,ORANGE COUNTY,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,5217242.0,CALIFORNIA
63,PALM SPRINGS,PSP,PSP,KPSP,Palm Springs International Airport,P-S,995801.0,CALIFORNIA
64,REDDING,RDD,RDD,KRDD,Redding Municipal Airport,P-N,43414.0,CALIFORNIA
65,SACRAMENTO,SMF,SMF,KSMF,Sacramento International Airport,P-M,4969366.0,CALIFORNIA
66,SAN DIEGO,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,10340164.0,CALIFORNIA
67,SAN FRANCISCO,SFO,SFO,KSFO,San Francisco International Airport,P-L,25707101.0,CALIFORNIA
68,SAN JOSE,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,5321603.0,CALIFORNIA
69,SAN LUIS OBISPO,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,162719.0,CALIFORNIA
70,SANTA BARBARA,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,329751.0,CALIFORNIA
71,SANTA MARIA,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,40120.0,CALIFORNIA
72,SANTA ROSA,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,167151.0,CALIFORNIA
73,STOCKTON,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,93076.0,CALIFORNIA
75,ASPEN,ASE,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field),P-N,254392.0,COLORADO
76,COLORADO SPRINGS,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,657694.0,COLORADO
77,DENVER,DEN,DEN,KDEN,Denver International Airport,P-L,28267394.0,COLORADO
78,DURANGO,DRO,DRO,KDRO,Durango–La Plata County Airport,P-N,187789.0,COLORADO
79,EAGLE/VAIL,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,163840.0,COLORADO
80,GRAND JUNCTION,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,218319.0,COLORADO
81,GUNNISON,GUC,GUC,KGUC,Gunnison–Crested Butte Regional Airport,P-N,30780.0,COLORADO
82,HAYDEN,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,34979.0,COLORADO
83,MONTROSE,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,116272.0,COLORADO
84,PUEBLO,PUB,PUB,KPUB,Pueblo Memorial Airport,P-N,3965.0,COLORADO
86,HARTFORD,BDL,BDL,KBDL,Bradley International Airport,P-M,2982194.0,CONNECTICUT
87,NEW HAVEN,HVN,HVN,KHVN,Tweed New Haven Regional Airport,P-N,27911.0,CONNECTICUT
89,DAYTONA BEACH,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,340815.0,FLORIDA
90,FORT LAUDERDALE,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,17950989.0,FLORIDA
91,FORT MYERS,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,5044024.0,FLORIDA
92,FORT WALTON BEACH,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,813600.0,FLORIDA
93,GAINESVILLE,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,273253.0,FLORIDA
94,JACKSONVILLE,JAX,JAX,KJAX,Jacksonville International Airport,P-M,3479923.0,FLORIDA
95,KEY WEST,EYW,EYW,KEYW,Key West International Airport,P-N,497656.0,FLORIDA
96,MELBOURNE,MLB,MLB,KMLB,Orlando Melbourne International Airport,P-N,241289.0,FLORIDA
97,MIAMI,MIA,MIA,KMIA,Miami International Airport,P-L,21421031.0,FLORIDA
98,ORLANDO,MCO,MCO,KMCO,Orlando International Airport,P-L,24562271.0,FLORIDA
99,PANAMA CITY BEACH,ECP,ECP,KECP,Northwest Florida Beaches International Airport[nb 2],P-S,621406.0,FLORIDA
100,PENSACOLA,PNS,PNS,KPNS,Pensacola International Airport,P-S,1098889.0,FLORIDA
101,PUNTA GORDA,PGD,PGD,KPGD,Punta Gorda Airport,P-S,821557.0,FLORIDA
102,SANFORD,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,1601614.0,FLORIDA
103,SARASOTA,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,977530.0,FLORIDA
104,ST. PETERSBURG,PIE,PIE,KPIE,St. Pete–Clearwater International Airport,P-S,1143483.0,FLORIDA
105,TALLAHASSEE,TLH,TLH,KTLH,Tallahassee International Airport,P-N,415272.0,FLORIDA
106,TAMPA,TPA,TPA,KTPA,Tampa International Airport,P-L,10941173.0,FLORIDA
107,VERO BEACH,VRB,VRB,KVRB,Vero Beach Regional Airport,P-N,4581.0,FLORIDA
108,WEST PALM BEACH,PBI,PBI,KPBI,Palm Beach International Airport,P-M,3100624.0,FLORIDA
110,ALBANY,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,34226.0,GEORGIA
111,ATLANTA,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,50501858.0,GEORGIA
112,AUGUSTA,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,270797.0,GEORGIA
113,BRUNSWICK,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,36054.0,GEORGIA
114,COLUMBUS,CSG,CSG,KCSG,Columbus Metropolitan Airport,P-N,44813.0,GEORGIA
115,MACON,MCN,MCN,KMCN,Middle Georgia Regional Airport,P-N,860.0,GEORGIA
116,SAVANNAH,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,1056265.0,GEORGIA
117,VALDOSTA,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,40275.0,GEORGIA
119,"HILO, HAWAII",ITO,ITO,PHTO,Hilo International Airport,P-S,640757.0,HAWAII
120,"HONOLULU, OAHU",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,9656340.0,HAWAII
121,"KAHULUI, MAUI",OGG,OGG,PHOG,Kahului Airport,P-M,3352813.0,HAWAII
122,"KAILUA-KONA, HAWAII",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,1569602.0,HAWAII
123,"KAUNAKAKAI, MOLOKAI",MKK,MKK,PHMK,Molokai Airport,P-N,92560.0,HAWAII
124,"LANAI CITY, LANAI",LNY,LNY,PHNY,Lanai Airport,P-N,43275.0,HAWAII
125,"LIHUE, KAUAI",LIH,LIH,PHLI,Lihue Airport,P-S,1458940.0,HAWAII
127,BOISE,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-S,1633507.0,IDAHO
128,IDAHO FALLS,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,146213.0,IDAHO
129,LEWISTON,LWS,LWS,KLWS,Lewiston–Nez Perce County Airport,P-N,72724.0,IDAHO
130,POCATELLO,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,34462.0,IDAHO
131,SUN VALLEY,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,77729.0,IDAHO
132,TWIN FALLS,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,38869.0,IDAHO
134,BELLEVILLE,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,79988.0,ILLINOIS
135,BLOOMINGTON,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,188490.0,ILLINOIS
136,CHAMPAIGN (SAVOY),CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,89318.0,ILLINOIS
137,CHICAGO,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,37589899.0,ILLINOIS
138,CHICAGO,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,11044387.0,ILLINOIS
139,MARION,MWA,MWA,KMWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport),P-N,10044.0,ILLINOIS
140,MOLINE,MLI,MLI,KMLI,Quad City International Airport,P-N,364393.0,ILLINOIS
141,PEORIA,PIA,PIA,KPIA,General Wayne A. Downing Peoria International Airport,P-N,307189.0,ILLINOIS
142,QUINCY,UIN,UIN,KUIN,Quincy Regional Airport (Baldwin Field),P-N,7847.0,ILLINOIS
143,ROCKFORD,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,101790.0,ILLINOIS
144,SPRINGFIELD,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,93269.0,ILLINOIS
146,EVANSVILLE,EVV,EVV,KEVV,Evansville Regional Airport,P-N,204352.0,INDIANA
147,FORT WAYNE,FWA,FWA,KFWA,Fort Wayne International Airport,P-N,360369.0,INDIANA
148,INDIANAPOLIS,IND,IND,KIND,Indianapolis International Airport,P-M,4216766.0,INDIANA
149,SOUTH BEND,SBN,SBN,KSBN,South Bend International Airport (was South Bend Regional),P-N,329957.0,INDIANA
151,CEDAR RAPIDS,CID,CID,KCID,The Eastern Iowa Airport,P-S,547786.0,IOWA
152,DES MOINES,DSM,DSM,KDSM,Des Moines International Airport,P-S,1216357.0,IOWA
153,DUBUQUE,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,37954.0,IOWA
154,SIOUX CITY,SUX,SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field),P-N,36413.0,IOWA
155,WATERLOO,ALO,ALO,KALO,Waterloo Regional Airport,P-N,27069.0,IOWA
157,GARDEN CITY,GCK,GCK,KGCK,Garden City Regional Airport,P-N,26825.0,KANSAS
158,HAYS,HYS,HYS,KHYS,Hays Regional Airport,P-N,8265.0,KANSAS
159,MANHATTAN,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,63761.0,KANSAS
160,SALINA,SLN,SLN,KSLN,Salina Regional Airport,P-N,3967.0,KANSAS
161,WICHITA,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (formerly Wichita Mid-Continent Airport),P-S,781944.0,KANSAS
163,CINCINNATI/COVINGTON,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,3269979.0,KENTUCKY
164,LEXINGTON,LEX,LEX,KLEX,Blue Grass Airport,P-S,638316.0,KENTUCKY
165,LOUISVILLE,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,1631494.0,KENTUCKY
166,OWENSBORO,OWB,OWB,KOWB,Owensboro–Daviess County Regional Airport,P-N,23537.0,KENTUCKY
167,PADUCAH,PAH,PAH,KPAH,Barkley Regional Airport,P-N,20266.0,KENTUCKY
169,ALEXANDRIA,AEX,AEX,KAEX,Alexandria International Airport,P-N,129776.0,LOUISIANA
170,BATON ROUGE,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,364200.0,LOUISIANA
171,LAFAYETTE,LFT,LFT,KLFT,Lafayette Regional Airport,P-N,206667.0,LOUISIANA
172,LAKE CHARLES,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,53576.0,LOUISIANA
173,MONROE,MLU,MLU,KMLU,Monroe Regional Airport,P-N,102342.0,LOUISIANA
174,NEW ORLEANS,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,5569705.0,LOUISIANA
175,SHREVEPORT,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,270395.0,LOUISIANA
177,BANGOR,BGR,BGR,KBGR,Bangor International Airport,P-N,269013.0,MAINE
178,PORTLAND,PWM,PWM,KPWM,Portland International Jetport,P-S,886343.0,MAINE
179,PRESQUE ISLE,PQI,PQI,KPQI,Presque Isle International Airport,P-N,12526.0,MAINE
180,ROCKLAND,RKD,RKD,KRKD,Knox County Regional Airport,P-N,16206.0,MAINE
182,BALTIMORE,BWI,BWI,KBWI,Baltimore/Washington International Airport,P-L,13371816.0,MARYLAND
183,HAGERSTOWN,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,23654.0,MARYLAND
184,SALISBURY,SBY,SBY,KSBY,Salisbury–Ocean City–Wicomico Regional Airport,P-N,64393.0,MARYLAND
186,BEDFORD,BED,BED,KBED,Hanscom Field / Hanscom Air Force Base,P-N,15105.0,MASSACHUSETTS
187,BOSTON,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,17759044.0,MASSACHUSETTS
188,HYANNIS,HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field),P-N,31027.0,MASSACHUSETTS
189,NANTUCKET,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,126197.0,MASSACHUSETTS
190,PROVINCETOWN,PVC,PVC,KPVC,Provincetown Municipal Airport,P-N,10074.0,MASSACHUSETTS
191,VINEYARD HAVEN,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,54084.0,MASSACHUSETTS
192,WORCESTER,ORH,ORH,KORH,Worcester Regional Airport,P-N,57800.0,MASSACHUSETTS
194,ALPENA,APN,APN,KAPN,Alpena County Regional Airport,P-N,10031.0,MICHIGAN
195,DETROIT,DTW,DTW,KDTW,Detroit Metropolitan Airport,P-L,16847135.0,MICHIGAN
196,ESCANABA,ESC,ESC,KESC,Delta County Airport,P-N,16822.0,MICHIGAN
197,FLINT,FNT,FNT,KFNT,Bishop International Airport,P-N,398508.0,MICHIGAN
198,GRAND RAPIDS,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,1334979.0,MICHIGAN
199,HANCOCK,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,25439.0,MICHIGAN
200,IRON MOUNTAIN,IMT,IMT,KIMT,Ford Airport,P-N,12604.0,MICHIGAN
201,KALAMAZOO,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,154242.0,MICHIGAN
202,LANSING,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,161863.0,MICHIGAN
203,MARQUETTE,SAW,MQT,KSAW,Sawyer International Airport,P-N,45462.0,MICHIGAN
204,MUSKEGON,MKG,MKG,KMKG,Muskegon County Airport,P-N,18165.0,MICHIGAN
205,PELLSTON,PLN,PLN,KPLN,Pellston Regional Airport,P-N,25497.0,MICHIGAN
206,SAGINAW,MBS,MBS,KMBS,MBS International Airport,P-N,122469.0,MICHIGAN
207,SAULT STE. MARIE,CIU,CIU,KCIU,Chippewa County International Airport,P-N,20974.0,MICHIGAN
208,TRAVERSE CITY,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,223924.0,MICHIGAN
210,BEMIDJI,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,25510.0,MINNESOTA
211,BRAINERD,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,18200.0,MINNESOTA
212,DULUTH,DLH,DLH,KDLH,Duluth International Airport,P-N,124284.0,MINNESOTA
213,HIBBING,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,12654.0,MINNESOTA
214,INTERNATIONAL FALLS,INL,INL,KINL,Falls International Airport,P-N,13831.0,MINNESOTA
215,MINNEAPOLIS,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,18123844.0,MINNESOTA
216,ROCHESTER,RST,RST,KRST,Rochester International Airport,P-N,112864.0,MINNESOTA
217,ST. CLOUD,STC,STC,KSTC,St. Cloud Regional Airport,P-N,15615.0,MINNESOTA
219,COLUMBUS,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,40823.0,MISSISSIPPI
220,GULFPORT / BILOXI,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-N,305157.0,MISSISSIPPI
221,JACKSON,JAN,JAN,KJAN,Jackson–Medgar Wiley Evers International Airport,P-S,491464.0,MISSISSIPPI
222,MERIDIAN,MEI,MEI,KMEI,Meridian Regional Airport (Key Field),P-N,26359.0,MISSISSIPPI
